Student_ID,Role,Frontend_Correct,Frontend_Total,CN_Correct,CN_Total,OS_Correct,Final_Score,OS_Total,DSA_Correct,DSA_Total,Avg_Difficulty,Final_Score,Decision
S1,Frontend,1,2,0,2,0,2,2,2,2.13,45.0,Reject
S2,Frontend,1,2,0,2,0,2,1,2,2.07,32.5,Reject
S3,Frontend,2,2,1,2,2,2,0,2,2.35,65.0,Waitlist
S4,Frontend,0,2,1,2,1,2,1,2,1.84,30.0,Reject
S5,Frontend,2,2,2,2,2,2,1,2,2.52,87.5,Shortlist
S6,Frontend,0,2,1,2,1,2,2,2,2.3,42.5,Reject
S7,Frontend,2,2,2,2,0,2,0,2,2.93,60.0,Waitlist
S8,Frontend,2,2,1,2,2,2,2,2,2.48,90.0,Shortlist
S9,Frontend,1,2,1,2,1,2,0,2,1.87,37.5,Reject
S10,Frontend,1,2,2,2,0,2,1,2,2.07,52.5,Waitlist
S11,Frontend,2,2,2,2,2,2,1,2,2.91,87.5,Shortlist
S12,Frontend,0,2,0,2,1,2,0,2,2.82,7.5,Reject
S13,Frontend,2,2,0,2,1,2,1,2,1.54,60.0,Waitlist
S14,Frontend,2,2,1,2,1,2,1,2,2.17,70.0,Shortlist
S15,Frontend,1,2,0,2,2,2,2,2,1.5,60.0,Waitlist
S16,Frontend,1,2,1,2,0,2,2,2,2.51,55.0,Waitlist
S17,Frontend,2,2,1,2,1,2,1,2,2.7,70.0,Shortlist
S18,Frontend,0,2,1,2,0,2,0,2,2.76,10.0,Reject
S19,Frontend,0,2,1,2,2,2,2,2,2.83,50.0,Waitlist
S20,Frontend,1,2,1,2,2,2,0,2,2.63,45.0,Reject
S21,Frontend,0,2,1,2,0,2,1,2,2.62,22.5,Reject
S22,Frontend,1,2,0,2,1,2,0,2,2.29,27.5,Reject
S23,Frontend,0,2,0,2,1,2,2,2,2.9,32.5,Reject
S24,Frontend,0,2,1,2,0,2,2,2,2.52,35.0,Reject
S25,Frontend,0,2,0,2,1,2,1,2,1.67,20.0,Reject
S26,Frontend,0,2,0,2,2,2,0,2,1.55,15.0,Reject
S27,Frontend,2,2,1,2,2,2,0,2,2.71,65.0,Waitlist
S28,Frontend,2,2,2,2,1,2,0,2,1.99,67.5,Waitlist
S29,Frontend,0,2,2,2,0,2,1,2,1.62,32.5,Reject
S30,Frontend,0,2,0,2,0,2,1,2,2.73,12.5,Reject
S31,Frontend,2,2,2,2,2,2,1,2,1.73,87.5,Shortlist
S32,Frontend,2,2,2,2,0,2,2,2,2.47,85.0,Shortlist
S33,Frontend,2,2,2,2,1,2,2,2,2.85,92.5,Shortlist
S34,Frontend,2,2,1,2,0,2,1,2,2.97,62.5,Waitlist
S35,Frontend,0,2,2,2,2,2,2,2,2.74,60.0,Waitlist
S36,Frontend,0,2,0,2,1,2,2,2,1.56,32.5,Reject
S37,Frontend,2,2,0,2,0,2,2,2,2.73,65.0,Waitlist
S38,Frontend,1,2,0,2,1,2,2,2,2.82,52.5,Waitlist
S39,Frontend,1,2,1,2,2,2,0,2,2.95,45.0,Reject
S40,Frontend,0,2,0,2,0,2,0,2,2.54,0.0,Reject
S41,Frontend,2,2,0,2,2,2,1,2,1.61,67.5,Waitlist
S42,Frontend,2,2,1,2,2,2,0,2,2.07,65.0,Waitlist
S43,Frontend,1,2,1,2,1,2,0,2,1.75,37.5,Reject
S44,Frontend,0,2,1,2,1,2,2,2,2.32,42.5,Reject
S45,Frontend,2,2,0,2,1,2,0,2,2.82,47.5,Reject
S46,Frontend,0,2,2,2,0,2,1,2,2.59,32.5,Reject
S47,Frontend,1,2,0,2,2,2,0,2,2.34,35.0,Reject
S48,Frontend,0,2,2,2,1,2,1,2,2.0,40.0,Reject
S49,Frontend,0,2,0,2,2,2,0,2,2.89,15.0,Reject
S50,Frontend,2,2,2,2,0,2,0,2,2.33,60.0,Waitlist
S51,Frontend,1,2,0,2,0,2,0,2,2.24,20.0,Reject
S52,Frontend,1,2,2,2,2,2,1,2,2.09,67.5,Waitlist
